post_url,post_date,post_type,post_text,total_likes,total_comments,total_shares,total_views,comments_scraped,scraped_at
https://www.facebook.com/LaPolemicaDelHuila/videos/viral-qu%C3%A9-belleza-un-ni%C3%B1o-se-ha-vuelto-viral-tras-su-exposici%C3%B3n-escolar-sobre-su/1268138325256791,08/01/2026,video,,52,1,0,0,1,2026-04-21 21:18:28
https://www.facebook.com/LaPolemicaDelHuila/videos/triste-un-caballo-fue-abandonado-en-grave-estado-de-salud-en-el-barrio-porvenir-/1693188628336011,09/01/2026,video,,33,4,0,0,2,2026-04-21 21:19:02
https://www.facebook.com/LaPolemicaDelHuila/videos/triste-en-medio-de-las-sirenas-que-anuncian-peligr%C3%B8-un-peque%C3%B1o-perrito-corre-a-e/4528029270853905,10/01/2026,video,,30,2,0,0,2,2026-04-21 21:19:20
https://www.facebook.com/LaPolemicaDelHuila/videos/atenci%C3%B3n-cay%C3%B3-alias-la-anaconda-en-pitalito-se%C3%B1alada-de-liderar-la-distribuci%C3%B3n-/936488002666392,11/01/2026,video,,2,4,0,0,2,2026-04-21 21:19:52
https://www.facebook.com/LaPolemicaDelHuila/videos/pol%C3%A9mica-la-promesa-incumplida-del-candidato-de-cambio-radical-julio-c%C3%A9sar-trian/952424487356417,13/01/2026,video,,42,0,0,1574,0,2026-04-21 21:20:09
https://www.facebook.com/LaPolemicaDelHuila/posts/pfbid0xcqazfXjR3ExwQpyACa2By5Q4L4EQKiJBKHYDZFXmtxbuo259r7n8QqYw4FnYWkYl,22/01/2026,post,"#Preocupante 
 Crece la preocupación entre padres de familia de las instituciones educativas Nelson Carvajal y Liceo Sur Andino, en el municipio de Pitalito, tras la eliminación del servicio de portería y vigilancia presencial en estos planteles. Exigen acciones urgentes al alcalde Yider Luna.
De acuerdo con los denunciantes, la Administración Municipal habría reemplazado a los vigilantes por cámaras de seguridad, una medida que consideran insuficiente frente al aumento de robøs y la presencia d",28,0,1,0,1,2026-04-21 21:20:23
https://www.facebook.com/LaPolemicaDelHuila/posts/pfbid0haaSXxTnXUnGyKznV2PKVr3WK9gtSvzMUYm8Dtd22PyruYrhFQ7XptcDKqAUm5dzl,31/01/2026,post,"#ATENCIÓN
 De un disparo en la cabeza, fue asesinadą una mujer por robąrla, en el municipio de Palestina, Huila. El hecho de violenciå registrado la noche de este lunes en la vereda San Isidro, tiene consternada a la comunidad.
La víctima, identificada como Albenis Ávila Pérez, fue atacąda con armą de fuegø y recibió un disparø en la cabeza. Según información preliminar, la mujer residía en el casco urbano del municipio y, al parecer, habría sido citada hasta este sector rural, donde ocurrió el",1,3,3,0,4,2026-04-21 21:20:39
https://www.facebook.com/LaPolemicaDelHuila/posts/pfbid0nw4Xr9B3t9V26YKTwvUwbMcosfA6sTvCZcc3V2WkSjG8LxLPUCBhx9dDEiSoSQTgl,01/02/2026,post,"#Trágico
 En medio de un profundo dolor, fueron confirmados los actos fúnebres de Óscar Duván Buendía Álvarez, quien perdió la vida en un siniestro de tránsito ocurrido el domingo 19 de abril en la avenida Circunvalar.
La velación se llevará a cabo desde este martes 21 de abril a las 8:00 a.m. en la Sala Preferencial de Funerales Santa Cruz. Las exequias están programadas para el miércoles 22 de abril a las 3:00 p.m., con ceremonia religiosa y posterior traslado al cementerio Campanario.
Según i",24,0,1,0,1,2026-04-21 21:20:54
https://www.facebook.com/LaPolemicaDelHuila/posts/pfbid02FWfuX11gkER47kM4Lqxd5NgW2u8zAvSyemYUnK1bbjKrPwhxxEkorCEjtURNiJVQl,16/02/2026,post,"#ATENCIÓN 
 Las víctimas fueron identificadas como Andrés Esteban Álvarez Sierra, Darwin Arnoldo Gómez Gutiérrez y Brayan Steven Galindo Amado. En el mismo hecho, dos uniformados resultaron heridøs y fueron trasladados a un centro asistencial en Pasto, donde reciben atención médica especializada.
De acuerdo con información oficial, el ataquę habría sido perpetrado por el grupo armado organizado residual Coordinadora Nacional Ejército Bolivariano, específicamente por la Estructura Comandos de Fro",21,0,2,0,1,2026-04-21 21:21:07
https://www.facebook.com/photo.php?fbid=910104831883096,19/02/2026,photo,,75,5,27,0,0,2026-04-22 09:30:03
